mapillary_image_id,user_id,user_name,captured_at,longitude,latitude,train,surface_type,surface_quality
1000927687276860,103606985215406,dsmm,1655735677353,13.287804599998,51.5025968,True,concrete,intermediate
1001349260556407,102468835332129,ber319,1659015876793,14.426535699998,52.217756699999,True,unpaved,bad
1001419624308587,100232345559807,carlheinz,1698249177500,13.457937508434,52.512914198135,True,asphalt,good
1001712924422413,100232345559807,carlheinz,1699107239000,13.3868735,52.564970099972,True,concrete,excellent
1001853784055707,102627028648372,kartonage,1652268883000,13.389879799972,52.546259999972,True,asphalt,excellent
1002131400702235,101545352092712,mapforus,1613838127004,7.1213791611111,51.039952905556,True,asphalt,excellent
1002484893825364,110562521169809,ahzf,1409230344000,11.031296296296,50.982261669954,True,asphalt,good
1002859683992939,107787624790453,aa_blaablaa,1645696377683,13.350672327914,52.486629342915,True,asphalt,good
1003958393553079,100232345559807,carlheinz,1648116339000,13.450659999972,52.4968122,True,sett,bad
1004846316926785,109115837985025,veloroute_hamburg,1565540969000,10.358513399972,53.355341,True,concrete,excellent
1005023573994774,108725531582408,robffm,1683473338539,8.6746406079095,49.962981534827,True,concrete,excellent
1005080053540184,100232345559807,carlheinz,1658061358250,13.381365199972,52.5979213,True,concrete,good
1005162660302046,103658281877634,canislupus,1627398649361,12.48602833001,50.700747864008,True,asphalt,excellent
1006308606568902,108954524668583,ramap,1588515257000,8.5978777777778,49.997052777778,True,asphalt,excellent
1006550843268016,101468878767508,zora,1641809214580,11.745610645467,48.402419092249,True,sett,bad
100672902913764,103658281877634,canislupus,1673431354081,13.6288924,51.105912300001,True,sett,intermediate
1006983903559646,100232345559807,carlheinz,1648220032000,13.436645999972,52.533575599972,True,concrete,good
1007047186907473,100562292188203,changchun1,1649776626831,9.0868885613445,52.192056919328,True,paving_stones,intermediate
1007416500028468,109115837985025,veloroute_hamburg,1624807425000,10.001256646707,53.555679071856,True,paving_stones,good
1008262863360384,110282201203825,eserte,1633173414936,13.541671838624,52.404515594293,True,sett,intermediate
1009149569621856,103606985215406,dsmm,1622478218274,13.408954954656,51.536689766599,True,asphalt,excellent
1009384503551676,111461687745521,8of9,1677605493000,12.1472253,54.0791228,True,concrete,bad
1009680906614776,101152495465210,slabby,1502729285000,8.1991148,48.0495712,True,asphalt,good
1009829936396350,113294298038447,GretaMNeu,1657561836831,10.78758349263,53.248249801705,True,unpaved,bad
1010095769830403,100232345559807,carlheinz,1626277079000,13.508158299972,52.552390299972,True,sett,bad
1010335209717850,100369148880038,fatbikecanyon,1627204665456,12.375309299972,51.368695299972,True,sett,intermediate
1011003429647125,100232345559807,carlheinz,1628084633217,13.501748746454,52.549580888446,True,concrete,good
1011378130141366,103080845264750,teddy73,1698568412000,11.634409,52.126302,True,sett,good
1011860256903391,104115958497622,kopra,1691662777000,9.9275409,49.7932276,True,sett,intermediate
1011930292742609,102785218632269,multimaze,1525159141835,7.0330756018856,51.434133993755,True,concrete,good
1012655169753817,100232345559807,carlheinz,1690872684500,13.416908799972,52.511903799972,True,asphalt,good
1015080322565099,110491117849516,tbeckler,1534665567091,12.115618121791,49.022504191045,True,unpaved,intermediate
1015672775631247,110552844504419,zoegglmeyr,1498066716000,12.351508333333,51.331586111111,True,unpaved,bad
1015823332898174,103550301888099,hektor1989,1694435404000,6.1713158,50.850519,True,unpaved,very_bad
1015866312652986,101834042469155,Langfahrer,1653246175072,9.774608991998,52.372987720001,True,paving_stones,excellent
1016117315586223,102627028648372,kartonage,1560081230000,13.6071521,52.473842799972,True,sett,bad
1017666249120605,100232345559807,carlheinz,1686209053281,13.450652416808,52.508943127517,True,paving_stones,good
1017716749407293,100232345559807,carlheinz,1690270689500,13.378357799972,52.541596699972,True,sett,bad
1017820279530356,103550301888099,hektor1989,1694435389000,6.1696549,50.8504374,True,unpaved,very_bad
1018274012143479,108954524668583,ramap,1586783596000,7.1623862581244,50.706058577642,True,asphalt,intermediate
1018423575356228,103390745232765,madel,1526986116000,6.0762333333333,50.980513888889,True,sett,intermediate
1019041522595934,644615480884197,Maqnify,1688739960004,9.0011886000018,48.714047,True,asphalt,good
1019057405585042,100474358864037,chuck,1632158612157,8.9722764,47.7416782,True,concrete,excellent
1019100758659815,101339545645167,pilvi,1633932353614,10.783757644557,51.834785356155,True,sett,intermediate
1019905076035678,102609045317136,mfa,1687799428000,6.7626652,51.4347474,True,paving_stones,excellent
1020310078913501,100232345559807,carlheinz,1651853161000,13.412164,52.518860699972,True,paving_stones,good
1020684188744477,100562292188203,changchun1,1628616163068,9.079339,49.089691,True,sett,good
1021058158754975,100232345559807,carlheinz,1645627456422,13.455915162352,52.500304696199,True,asphalt,intermediate
1021831158426809,100232345559807,carlheinz,1652422402838,13.494168622765,52.545198051738,True,asphalt,excellent
1021894245281920,103390745232765,madel,1564559535000,6.1339325641667,50.8577248825,True,asphalt,good
102208815429590,100232345559807,carlheinz,1624958777500,13.450912499972,52.496968199972,True,concrete,bad
1022310145767115,102187028688979,nakaner,1683970349000,8.2474017,49.051466,True,asphalt,intermediate
1022427785165122,100232345559807,carlheinz,1592205648409,13.551164260147,52.501842314426,True,asphalt,good
1022828708263128,109833741245768,richlv,1636979660000,13.4454656,52.5017622,True,paving_stones,excellent
1023032555196709,100232345559807,carlheinz,1634117571500,13.479295499972,52.523364899972,True,paving_stones,good
1023230851660088,103182758979410,LouCipher,1646814830376,6.7617973948154,51.443086845169,True,sett,bad
1023952478011736,107164461520710,stefanhrt,1618504745059,13.571658599972,52.545757,True,paving_stones,good
1024602618416571,111082307789754,pfmlb,1655272842583,10.053390570003,53.561000689998,True,asphalt,good
102491565788586,100191919180290,741852963,1652628158065,11.6000791,50.9359333,True,paving_stones,excellent
1025401698867884,101269772643495,VIA_KK,1686732562038,8.7795504,53.0874414,True,concrete,good
1026647074535558,107164461520710,stefanhrt,1609070479000,13.652428463056,52.510566199167,True,paving_stones,excellent
1026867184724352,100232345559807,carlheinz,1625731707500,13.431967999972,52.492875699972,True,sett,intermediate
1026974831456886,101410265434782,moenk,1605444388000,13.328941666667,52.485147222222,True,sett,intermediate
1027456695266855,109319051297466,zuse,1695276551254,8.5045545,51.883988300002,True,paving_stones,good
1027905894760457,108725531582408,robffm,1656769674642,8.6617112174984,50.131635521818,True,asphalt,good
1028209901931544,103550301888099,hektor1989,1694435402000,6.1711641,50.8505086,True,unpaved,very_bad
1028433187874855,100232345559807,carlheinz,1657782189000,13.464703699972,52.5669187,True,asphalt,good
1028862117930932,100232345559807,carlheinz,1630590333829,13.442949866889,52.499098498423,True,sett,intermediate
1029084658428642,100232345559807,carlheinz,1695569896000,13.374079999972,52.550412999972,True,sett,intermediate
